@relation 'base6-191018-weka-weka.filters.unsupervised.attribute.Remove-R1-6,8,14-20'

@attribute nedge numeric
@attribute fval numeric
@attribute walklen numeric
@attribute hillclimb numeric
@attribute balswap numeric
@attribute improve1 numeric
@attribute drBool {FALSE,TRUE}

@data
789,35.096985,4,1,0,0,FALSE
793,13.464972,4,1,0,0,FALSE
735,12.439857,4,1,0,0,FALSE
775,36.621429,4,1,0,0,FALSE
782,35.308941,4,1,0,0,FALSE
782,36.29174,4,1,0,0,FALSE
753,36.136517,4,1,0,0,FALSE
771,36.665279,4,1,0,0,FALSE
822,14.816771,4,1,0,0,FALSE
793,12.662197,4,1,0,0,FALSE
794,14.390671,4,1,0,0,FALSE
716,34.417492,4,1,0,0,FALSE
737,33.614353,2,1,1,1,TRUE
806,35.952538,2,1,1,1,TRUE
756,13.689478,2,1,1,1,TRUE
771,36.867985,2,1,1,1,FALSE
780,35.859482,2,1,1,1,FALSE
778,35.865875,2,1,1,1,TRUE
767,36.427292,2,1,1,1,FALSE
748,11.759274,2,1,1,1,TRUE
796,13.987333,2,1,1,1,FALSE
806,13.970551,2,1,1,1,FALSE
741,12.67247,2,1,1,1,TRUE
760,11.935801,2,1,1,1,TRUE
764,11.987423,2,1,1,1,TRUE
760,12.135204,2,1,1,1,FALSE
795,13.525637,2,1,1,1,FALSE
775,14.560501,2,1,1,1,TRUE
814,36.33289,2,1,1,1,TRUE
815,38.241722,2,1,1,1,TRUE
804,13.04295,2,1,1,1,TRUE
783,11.951403,2,1,1,1,FALSE
722,7.534371,1,1,0,1,FALSE
803,13.999575,1,1,0,1,FALSE
799,36.925621,1,1,0,1,FALSE
774,12.602797,1,1,0,1,FALSE
765,36.920006,1,1,0,1,FALSE
741,11.9557,1,1,0,1,FALSE
810,37.068203,1,1,0,1,FALSE
786,13.154181,1,1,0,1,FALSE
756,36.043098,1,1,0,1,FALSE
780,34.762642,1,1,0,1,FALSE
789,36.248856,1,1,0,1,FALSE
759,38.024071,1,1,0,1,FALSE
765,12.914864,1,1,0,1,FALSE
769,12.770356,1,1,0,1,FALSE
790,13.48958,1,1,0,1,FALSE
778,13.224384,1,1,0,1,FALSE
772,12.841827,1,1,0,1,FALSE
781,12.854813,1,1,0,1,FALSE
774,13.843559,1,1,0,1,FALSE
774,36.263168,1,1,0,1,FALSE
774,12.976782,4,1,1,0,FALSE
759,12.930739,4,1,1,0,FALSE
785,13.885132,4,1,1,0,FALSE
808,13.99057,4,1,1,0,FALSE
834,14.4121,4,1,1,0,FALSE
758,35.514343,4,1,1,0,FALSE
757,12.073198,4,1,1,0,FALSE
785,14.414152,4,1,1,0,FALSE
775,12.07535,4,1,1,0,FALSE
767,34.98843,4,1,1,0,FALSE
757,35.284306,4,1,1,0,FALSE
797,14.103096,4,1,1,0,FALSE
779,37.223595,4,1,1,0,FALSE
776,13.89069,4,1,1,0,FALSE
789,35.906807,4,1,1,0,FALSE
780,13.425076,4,1,1,0,FALSE
732,12.886974,4,1,1,0,FALSE
737,35.706116,4,1,1,0,FALSE
768,36.261887,4,1,1,0,FALSE
787,37.942631,4,1,1,0,FALSE
773,12.985336,2,1,1,0,FALSE
791,13.850805,2,1,1,0,FALSE
805,39.857121,2,1,1,0,FALSE
778,37.963135,2,1,1,0,FALSE
767,12.575831,2,1,1,0,FALSE
773,12.615564,2,1,1,0,FALSE
779,11.315533,2,1,1,0,FALSE
758,37.954414,2,1,1,0,FALSE
772,35.427246,2,1,1,0,FALSE
787,13.962626,2,1,1,0,FALSE
760,35.393948,2,1,1,0,FALSE
784,35.140793,2,1,1,0,FALSE
