@relation 'base7-191018-weka-weka.filters.unsupervised.attribute.Remove-R1-6,8,14-17,19-20-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R4'

@attribute nedge numeric
@attribute fval numeric
@attribute walklen numeric
@attribute balswap numeric
@attribute improve1 numeric
@attribute drBool {FALSE,TRUE}

@data
3006,29.390507,4,1,1,TRUE
3128,30.082153,4,1,1,TRUE
3020,29.460655,4,1,1,TRUE
3016,27.814751,4,1,1,TRUE
2988,27.779396,4,1,1,FALSE
3077,29.819832,4,1,1,TRUE
3085,30.253414,4,1,1,TRUE
2992,28.723694,2,0,1,FALSE
3137,71.13134,2,0,1,FALSE
3059,28.9538,2,0,1,FALSE
3066,29.556118,2,0,1,FALSE
2992,28.117508,2,0,1,FALSE
3046,29.844467,2,0,1,FALSE
3012,29.586853,2,0,1,FALSE
3003,28.172409,2,0,1,FALSE
3023,67.509575,2,0,1,FALSE
3125,29.639263,2,0,1,FALSE
2993,65.673813,2,0,1,FALSE
3081,28.975414,2,0,1,FALSE
3045,28.053482,2,0,1,FALSE
2981,28.182236,2,0,1,FALSE
3051,65.192978,2,0,1,FALSE
3061,29.628426,2,0,1,FALSE
3055,29.045074,2,0,1,FALSE
3001,28.549526,2,0,1,FALSE
3010,65.34758,2,0,1,FALSE
3090,30.214466,2,0,1,FALSE
3057,28.88929,2,1,0,FALSE
3172,32.326168,2,1,0,FALSE
3057,29.891769,2,1,0,FALSE
3086,69.355087,2,1,0,FALSE
3090,69.390167,2,1,0,FALSE
3105,65.870804,2,1,0,FALSE
3187,68.747803,2,1,0,FALSE
3135,32.366299,2,1,0,FALSE
3140,30.739391,2,1,0,FALSE
3191,73.040192,2,1,0,FALSE
3095,29.050022,2,1,0,FALSE
3093,68.325127,2,1,0,FALSE
3138,69.430191,2,1,0,FALSE
3089,30.341114,2,1,0,FALSE
3089,68.436569,2,1,0,FALSE
3221,70.374596,2,1,0,FALSE
3144,68.600258,2,1,0,FALSE
3178,29.8689,2,1,0,FALSE
3147,30.844627,2,1,0,FALSE
3105,29.624096,2,1,0,FALSE
3025,31.105591,4,0,0,FALSE
3013,30.081169,4,0,0,FALSE
3092,68.637962,4,0,0,FALSE
3193,69.840958,4,0,0,FALSE
3135,66.908226,4,0,0,FALSE
3158,31.885944,4,0,0,FALSE
3033,29.129028,4,0,0,FALSE
3142,27.097229,4,0,0,FALSE
3204,33.011917,4,0,0,FALSE
3095,30.340023,4,0,0,FALSE
3063,30.025528,4,0,0,FALSE
3143,31.573986,4,0,0,FALSE
3093,30.192142,4,0,0,FALSE
3192,31.230591,4,0,0,FALSE
3148,31.680378,4,0,0,FALSE
3148,31.243176,4,0,0,FALSE
3178,70.339745,4,0,0,TRUE
3132,67.747421,4,0,0,FALSE
3186,31.675911,4,0,0,FALSE
3149,30.678528,4,0,0,FALSE
3097,30.364643,4,0,1,FALSE
3140,68.45446,4,0,1,FALSE
3082,67.049973,4,0,1,FALSE
3149,31.079742,4,0,1,FALSE
3093,27.675919,4,0,1,FALSE
3144,32.82843,4,0,1,FALSE
3148,30.271534,4,0,1,FALSE
3101,66.649124,4,0,1,FALSE
3066,30.216507,4,0,1,FALSE
3065,30.103111,4,0,1,FALSE
3148,31.178383,4,0,1,FALSE
3157,68.446083,4,0,1,FALSE
3110,30.987221,4,0,1,FALSE
3103,29.895977,4,0,1,FALSE
3095,71.134659,4,0,1,FALSE
3183,32.043839,4,0,1,FALSE
3066,28.722771,4,0,1,FALSE
3072,30.11673,4,0,1,FALSE
3073,31.507797,4,0,1,FALSE
3154,31.15686,4,0,1,FALSE
3159,31.459064,2,0,0,FALSE
3091,30.932049,2,0,0,FALSE
3114,30.803879,2,0,0,FALSE
3126,72.015938,2,0,0,TRUE
3129,65.6577,2,0,0,FALSE
3131,31.967245,2,0,0,FALSE
